ID;Year;Bibtex-entry;Title;Abstract;Author1;Author2;Author3;Author4;Author5;Author6;Keyword1;Keyword2;Keyword3;Keyword4;Keyword5;Keyword6;Keyword7;Keyword8
38;2017;andreagiovanni2018sequential;Sequential Pattern Mining for ICT Risk Assessment and Prevention;Security risk assessment and prevention in ICT systems rely on the analysis of data on the joint behavior of the system and its (malicious) users. The Haruspex tool models intelligent, goal-oriented agents that reach their goals through attack sequences. Data is synthetically generated through a Monte Carlo method that runs multiple simulations of the attacks against the system. In this paper, we present a sequential pattern mining analysis of the database of attack sequences. The intended objective is twofold: (1) to exploit the extracted patterns for the design of attack counter-measures, and (2) for gaining a better understanding of the "degree of freedom" available for the attackers of a system. We formally motivate the need for using maximal sequential patterns, instead of frequent or closed sequential patterns, and report on the results on a specific case study.;Michele D'Andreagiovanni;Fabrizio Baiardi;Jacopo Lipilini;Salvatore Ruggieri;Federico Tonelli;;Security risk assessment;Attack sequences;Sequential pattern mining;Maximum coverage problem;;;;
39;2017;backenkohler2018student;Student Performance Prediction and Optimal Course Selection: An MDP Approach;Improving the performance of students is an important challenge for higher education institutions. At most European universities, duration and completion rate of degrees are highly varying and consulting services are offered to increase student achievement. Here, we propose a data analytics approach to determine optimal choices for the courses of the next term. We use machine learning techniques to predict the performance of a student in upcoming courses. These prediction form the transition probabilities of a Markov decision process (MDP) that describes the course of studies of a student. Using this model we plan to explore the effect of different strategies on student performance.;Michael Backenköhler;Verena Wolf;;;;;;;;;;;;
40;2017;broccia2018algorithm;An Algorithm for Simulating Human Selective Attention;The brain mechanism of selective attention plays a key role in determining the success of a human's interaction with a device. If the user has to perform concurrent tasks by interacting simultaneously with more than one device, her/his attention is directed at one of the devices at a time. Attention can therefore be seen as a shared resource, and the attentional mechanisms play the role of a task scheduler. In this paper we propose an algorithm for simulating the human selective attention. Simulations can then be used to study situations in which a user has to interact simultaneously with multiple devices. This kind of study is particularly important in safety-critical contexts in which failures in the main task, such as driving a car or setting an infusion pump, may have serious consequences.;Giovanna Broccia;Paolo Milazzo;Peter Csaba Ölveczky ;;;;Simulation algorithm;Human-computer interaction;Selective attention;Cognitive load;;;;
41;2017;carmichael2018learning;Learning Decision Trees from Synthetic Data Models for Human Security Behaviour;In general, in order to predict the impact of human behaviour on the security of an organisation, one can either build a classifier from actual traces observed within the organisation, or build a formal model, integrating known existing behavioural elements. Whereas the former approach can be costly and time-consuming, and it can be complicated to select the best classifier, it can be equally complicated to select the right parameters for a concrete setting in the latter approach. In this paper, we propose a methodical assessment of decision trees to predict the impact of human behaviour on the security of an organisation, by learning them from different sets of traces generated by a formal probabilistic model we designed. We believe this approach can help a security practitioner understand which features to consider before observing real traces from an organisation, and understand the relationship between the complexity of the behaviour model and the accuracy of the decision tree. In particular, we highlight the impact of the norm and messenger effects, which are well-known influencers, and therefore the crucial importance to capture observations made by the agents. We demonstrate this approach with a case study around tailgating. A key result from this work shows that probabilistic behaviour and influences reduce the effectiveness of decision trees and, importantly, they impact a model differently with regards to error rate, precision and recall.;Peter Carmichael;Charles Morisset;;;;;;;;;;;;
42;2017;griffioen2018controlling;Controlling Production Variances in Complex Business Processes;Products can consist of many sub-assemblies and small disturbances in the process can lead to larger negative effects downstream. Such variances in production are a challenge from a quality control and operational risk management perspective but also it distorts the assurance processes from an auditing perspective. To control production effectively waste needs to be taken into account in normative models, but this is complicated by cumulative effects. We developed an analytical normative model based on the bill of material, that derives the rejection rates from the underlying processes without direct measurement. The model enables improved analysis and prediction. If the rejection rate is not taken into account the function of the bill of material as a reference model deteriorates and therefore output measures become more opaque and harder to verify. As a consequence it is extremely difficult or even impossible to assess efficiency and effectiveness of operations. Secondly it is impossible to judge whether net salable assets represent the correct amount and finally it is impossible to assert whether the operations do comply to company standards and applicable laws.;Paul Griffioen;Rob Christiaanse;Joris Hulstijn;;;;;;;;;;;
43;2017;nasti2018computational;A Computational Model of Internet Addiction Phenomena in Social Networks;Addiction is a complex phenomenon, stemming from environmental, biological and psychological causes. It is defined as a natural response of the body to external stimuli, such as drugs, alcohol, but also job, love and Internet technologies, that become compulsive needs, difficult to remove. At the neurological level, the Dopamine System plays a key role in the addiction process. Mathematical models of the Dopamine System have been proposed to study addiction to nicotine, drugs and gambling. In this paper, we propose a Hybrid Automata model of the Dopamine System, based on the mathematical model proposed by Gutkin et al. Our model allows different kinds of addiction causes to be described. In particular, we consider the problem of Internet addiction and its spread through interaction on social networks. This study is undertaken by performing simulations of virtual social networks by varying the network topology and the interaction propensity of users. We show that scale-free networks favour the emergence of addiction phenomena, in particular when users having a high propensity to interaction are present.;Lucia Nasti;Paolo Milazzo;;;;;Computational model;Hybrid Automata;Simulation;Scale-free networks;Dopamine System;Internet addiction;Social networks;
44;2017;van2017belongs;What Belongs to Context? A Definition, a Criterion and a Method for Deciding on What Context-Aware Systems Should Sense and Adapt to;Context-awareness refers to the ability to sense and adapt to context. With the rise of context-aware systems, designers are struggling with what variables should be sensed from the context. According to the definitions found in the literature, whether something belongs to context, has to do with whether it is relevant. However, what it means to be relevant is left implicit in these definitions. Most work on context-aware systems is based on assumptions of the context that should be taken into account. Hence, it is unclear how to decide whether something belongs to context or should be left out. In this paper, first we analyse what is meant with context and provide a definition. In this definition we introduce the notion of a context variable, defined as an attribute of an object that is relevant. Context is then defined as the set of context variables. We establish explicit criteria for deciding whether an attribute of an object is a context variable based on the proposed definition and the designer's goal. We also provide a straightforward method to help designers to determine whether the criterion is met and a variable should be included in the context. This method is based on filling out a scheme to describe context variables.;Sélinde van Engelenburg;Marijn Janssen;Bram Klievink;;;;Context-aware systems;Context;Business-to-government;Information sharing;Context variable;Context relationship;;
45;2017;zakirzyanov2018finding;Finding All Minimum-Size DFA Consistent with Given Examples: SAT-Based Approach;Deterministic finite automaton (DFA) is a fundamental concept in the theory of computation. The NP-hard DFA identification problem can be efficiently solved by translation to the Boolean satisfiability problem (SAT). Previously we developed a technique to reduce the problem search space by enforcing DFA states to be enumerated in breadth-first search (BFS) order. We proposed symmetry breaking predicates, which can be added to Boolean formulae representing various automata identification problems. In this paper we continue the study of SAT-based approaches. First, we propose new predicates based on depth-first search order. Second, we present three methods to identify all non-isomorphic automata of the minimum size instead of just one - the #P-complete problem which has not been solved before. Third, we revisited our implementation of the BFS-based approach and conducted new evaluation experiments. It occurs that BFS-based approach outperforms all other exact algorithms for DFA identification and can be effectively applied for finding all solutions of the problem.;Ilya Zakirzyanov;Anatoly Shalyto;Vladimir Ulyantsev;;;;Grammatical inference;Automata identification;Symmetry breaking;Boolean satisfiability;;;;
46;2018;nasti2018formalizing;Formalizing a Notion of Concentration Robustness for Biochemical Networks;The main goal of systems biology is to understand the dynamical properties of biological systems by investigating the interactions among the components of a biological system. In this work, we focus on the robustness property, a behaviour observed in several biological systems that allows them to preserve their functions despite external and internal perturbations. We first propose a new formal definition of robustness using the formalism of continuous Petri nets. In particular, we focus on robustness against perturbations to the initial concentrations of species. Then, we demonstrate the validity of our definition by applying it to the models of three different robust biochemical networks.;Lucia Nasti;Roberta Gori;Paolo Milazzo;;;;Robustness;Biochemical networks;Petri nets;;;;;
47;2018;guidotti2018explaining;Explaining Successful Docker Images Using Pattern Mining Analysis;Docker is on the rise in today's enterprise IT. It permits shipping applications inside portable containers, which run from so called Docker images. Docker images are distributed in public registries, which also monitor their popularity. The popularity of an image directly impacts on its usage, and hence on the potential revenues of its developers. In this paper, we present a frequent pattern mining-based approach for understanding how to improve an image to increase its popularity. The results in this work can provide valuable insights to Docker image providers, helping them to design more competitive software products.;Riccardo Guidotti;Jacopo Soldani;Davide Neri;Antonio Brogi;;;;;;;;;;
48;2018;pellungrini2018analyzing;Analyzing Privacy Risk in Human Mobility Data;Mobility data are of fundamental importance for understanding the patterns of human movements, developing analytical services and modeling human dynamics. Unfortunately, mobility data also contain individual sensitive information, making it necessary an accurate privacy risk assessment for the individuals involved. In this paper, we propose a methodology for assessing privacy risk in human mobility data. Given a set of individual and collective mobility features, we define the minimum data format necessary for the computation of each feature and we define a set of possible attacks on these data formats. We perform experiments computing the empirical risk in a real-world mobility dataset, and show how the distributions of the considered mobility features are affected by the removal of individuals with different levels of privacy risk.;Roberto Pellungrini;Luca Pappalardo;Francesca Pratesi;Anna Monreale;;;;;;;;;;
49;2018;arnaboldi2018generating;Generating Synthetic Data for Real World Detection of DoS Attacks in the IoT;Denial of service attacks are especially pertinent to the internet of things as devices have less computing power, memory and security mechanisms to defend against them. The task of mitigating these attacks must therefore be redirected from the device onto a network monitor. Network intrusion detection systems can be used as an effective and efficient technique in internet of things systems to offload computation from the devices and detect denial of service attacks before they can cause harm. However the solution of implementing a network intrusion detection system for internet of things networks is not without challenges due to the variability of these systems and specifically the difficulty in collecting data. We propose a model-hybrid approach to model the scale of the internet of things system and effectively train network intrusion detection systems. Through bespoke datasets generated by the model, the IDS is able to predict a wide spectrum of real-world attacks, and as demonstrated by an experiment construct more predictive datasets at a fraction of the time of other more standard techniques.;Luca Arnaboldi;Charles Morisset;;;;;;;;;;;;
50;2018;bowles2018annotated;Annotated BPMN Models for Optimised Healthcare Resource Planning;There is an unquestionable need to improve healthcare processes across all levels of care in order to optimise the use of resources whilst guaranteeing high quality care to patients. However, healthcare processes are generally very complex and have to be fully understood before enhancement suggestions can be made. Modelling with widely used notation such as BPMN (Business Process Modelling and Notation) can help gain a shared understanding of a process, but is not sufficient to understand the needs and demands of resources. We propose an approach to enrich BPMN models with structured annotations which enables us to attach further information to individual elements within the process model. We then use performance analysis (e.g., throughput and utilisation) to reason about resources across a model and propose optimisations. We show the usefulness of our approach for an A&E department of a sizeable hospital in the south of Brazil and how different stakeholders may profit from a richer annotated BPMN-based model.;Juliana Bowles;Ricardo M. Czekster;Thais Webber;;;;Process modelling;BPMN;Performance analysis;Optimisation;Healthcare;;;
51;2018;cerone2018using;Using Formal Methods to Validate Research Hypotheses: The Duolingo Case Study;In this paper we present a methodology that combines formal methods and informal research methods to validate research hypotheses. We use the CSP (Communicating Sequential Processes) process algebra to model the system as well as some aspects of the user, and PAT (Process Analysis Toolkit) to perform formal verification. We illustrate our methodology on Duolingo, a very popular application for language learning. Two kinds of data are considered: a log of the interaction of the user with the application and the assessment of the user's level of proficiency in the language to be learned (subject profile). The goal is to validate research hypotheses that relate the subject profile to the user's cognitive approach during interaction (cognitive profile). To this purpose, two CSP processes, one modelling the cognitive profile that is associated by the considered research hypothesis to the subject profile and one modelling the interaction log are composed in parallel with the system model. Thus, for each user with the given learner profile and specific interaction log, the verification of the functional correctness of the overall system validates the correlation between cognitive profile and subject profile.;Antonio Cerone;Aiym Zhexenbayeva;;;;;Formal methods;CSP process algebra;Process Analysis Toolkit (PAT);Multimodal interaction;Language learning application;;;
52;2018;cuculo2018personality;Personality Gaze Patterns Unveiled via Automatic Relevance Determination;Understanding human gaze behaviour in social context, as along a face-to-face interaction, remains an open research issue which is strictly related to personality traits. In the effort to bridge the gap between available data and models, typical approaches focus on the analysis of spatial and temporal preferences of gaze deployment over specific regions of the observed face, while adopting classic statistical methods. In this note we propose a different analysis perspective based on novel data-mining techniques and a probabilistic classification method that relies on Gaussian Processes exploiting Automatic Relevance Determination (ARD) kernel. Preliminary results obtained on a publicly available dataset are provided.;Vittorio Cuculo;Alessandro D'Amelio;Raffaella Lanzarotti;Giuseppe Boccignone;;;Eye movement;Gaze;Social interaction;Human behaviour;Gaussian Process;Classification;Personality;Big five
53;2018;cerone2018formalminer;FormalMiner: A Formal Framework for Refinement Mining;Refinement mining has been inspired by process mining techniques and aims to refine an abstract non-deterministic model by sifting it using event logs as a sieve until a reasonably concise model is achieved. FormalMiner is a formal framework that implements model mining using Maude, a modelling language based on rewriting logic. Once the final formal model is attained, it can be used, within the same rewriting-logic framework, to predict the future evolution of the behaviour through simulation, to carry out further validation or to analyse properties through model checking. In this paper we focus on the refinement mining capability of FormalMiner and we illustrate it using a case study from ecology.;Antonio Cerone;;;;;;Formal methods;Model-driven approaches;Rewriting logic;Maude;Process mining;Application to ecosystem modelling;;
54;2019;broccia2020validation;Validation of a Simulation Algorithm for Safety-Critical Human Multitasking;Multitasking has become surprisingly present in our life. This is mostly due to the fact that nowadays most of our activities involve the interaction with one or more devices. In such a context the brain mechanism of selective attention plays a key role in determining the success of a human's interaction with a device. Indeed, it is a resource to be shared among the concurrent tasks to be performed, and the sharing of attention turns out to be a process similar to process scheduling in operating systems. In order to study human multitasking situations in which a user interacts with more than one device at the same time, we proposed in a previous work an algorithm for simulating human selective attention. Our algorithm focuses, in particular, on safety-critical human multitasking, namely situations in which some of the tasks the user is involved in may lead to dangerous consequences if not executed properly. In this paper, we present the validation of such an algorithm against data gathered from an experimental study performed with real users involved concurrently in a "main" task perceived as safety-critical and in a series of "distractor" tasks having different levels of cognitive load.;Giovanna Broccia;Paolo Milazzo;Cristina Belviso;Carmen Berrocal Montiel ;;;Validation;Simulation algorithm;Human-computer interaction;Safety-critical;Multitasking;Experimental study;;
55;2019;garanina2020ontology;An Ontology-Based Approach to Support Formal Verification of Concurrent Systems;Formal verification ensures the absence of design errors in a system with respect to system's requirements. This is especially important for the control software of critical systems, ranging from automatic components of avionics and spacecrafts to modules of distributed banking transactions. In this paper, we present a verification support framework that enables automatic extraction of a concurrent system's requirements from the technical documentation and formal verification of the system design using an external or built-in verification tool that checks whether the system meets the extracted requirements. Our support approach also provides visualization and editing options for both the system model and requirements. The key data components of our framework are ontological descriptions of the verified system and its requirements. We describe the methods used in our support framework and we illustrate their work for the use case of an automatic control system.;Natalia Garanina;Igor Anureev;Elena Sidorova;Dmitry Koznov;Vladimir Zyubin;Sergei Gorlatch;Ontology;Information extraction;Formal verification;Requirement engineering;Formal semantic;;;
56;2019;boccignone2020look;How to Look Next? A Data-Driven Approach for Scanpath Prediction;By and large, current visual attention models mostly rely, when considering static stimuli, on the following procedure. Given an image, a saliency map is computed, which, in turn, might serve the purpose of predicting a sequence of gaze shifts, namely a scanpath instantiating the dynamics of visual attention deployment. The temporal pattern of attention unfolding is thus confined to the scanpath generation stage, whilst salience is conceived as a static map, at best conflating a number of factors (bottom-up information, top-down, spatial biases, etc.). In this note we propose a novel sequential scheme that consists of a three-stage processing relying on a center-bias model, a context/layout model, and an object-based model, respectively. Each stage contributes, at different times, to the sequential sampling of the final scanpath. We compare the method against classic scanpath generation that exploits state-of-the-art static saliency model. Results show that accounting for the structure of the temporal unfolding leads to gaze dynamics close to human gaze behaviour.;Giuseppe Boccignone;Vittorio Cuculo;Alessandro D'Amelio;;;;Saliency model;Visual attention;Gaze deployment;Scanpath prediction;;;;
57;2019;guidotti2020know;Know Thyself How Personal Music Tastes Shape the Last.Fm Online Social Network;As Nietzsche once wrote "Without music, life would be a mistake" (Twilight of the Idols, 1889.). The music we listen to reflects our personality, our way to approach life. In order to enforce self-awareness, we devised a Personal Listening Data Model that allows for capturing individual music preferences and patterns of music consumption. We applied our model to 30k users of Last.Fm for which we collected both friendship ties and multiple listening. Starting from such rich data we performed an analysis whose final aim was twofold: (i) capture, and characterize, the individual dimension of music consumption in order to identify clusters of like-minded Last.Fm users, (ii) analyze if, and how, such clusters relate to the social structure expressed by the users in the service. Do there exist individuals having similar Personal Listening Data Models? If so, are they directly connected in the social graph or belong to the same community?.;Riccardo Guidotti;Giulio Rossetti;;;;;Personal data model;Online social network;Music;;;;;
58;2019;d2020gender;Gender Recognition in the Wild with Small Sample Size - A Dictionary Learning Approach;In this work we address the problem of gender recognition from facial images acquired in the wild. This problem is particularly difficult due to the presence of variations in pose, ethnicity, age and image quality. Moreover, we consider the special case in which only a small sample size is available for the training phase. We rely on a feature representation obtained from the well known VGG-Face Deep Convolutional Neural Network (DCNN) and exploit the effectiveness of a sparse-driven sub-dictionary learning strategy which has proven to be able to represent both local and global characteristics of the train and probe faces. Results on the publicly available LFW dataset are provided in order to demonstrate the effectiveness of the proposed method.;Alessandro D'Amelio;Vittorio Cuculo;Sathya Bursic ;;;;Facial gender recognition;Sparse dictionary learning;Deep features;Soft biometrics;;;;
59;2019;aibassova2020instrumented;An Instrumented Mobile Language Learning Application for the Analysis of Usability and Learning;Mobile applications for language learning (MALL) is a field that is at large dominated by translation-based learning approaches. Moreover, MALL feature a number of common practices that may not effectively address learning or may even increase the number of user errors. In this tool paper, we introduce a language learning application equipped with instrumentation code to collect data about user behavior and use such data in different ways. The most obvious use is to provide statistics and patterns of learning of the users, which can be used by users to adjust their learning approaches and by researchers to study learning processes and attitudes. For the benefit of the user collected data can be also exploited to drive the synthesis of exercises that best suit the user's language level and learning approach and are not likely to cause usability errors. The main use of the application is, however, as a tool for research purposes. In fact, it is a tool for testing new forms of exercises and their combination on samples of users, thus providing valuable information for research in language learning as well as supporting the software development process of new MALL. Finally, an additional feature of the tool is the conversion of the collected data into a formal description of the user's behaviour to be used for formal verification and validation purposes.;Aigerim Aibassova;Antonio Cerone;Mukhtar Tashkenbayev ;;;;Mobile applications;Language learning;Usability;Instrumentation code;;;;
60;2019;natilli2020analysis;Analysis and Visualization of Performance Indicators in University Admission Tests;This paper presents an analytical platform for evaluation of the performance and anomaly detection of tests for admission to public universities in Italy. Each test is personalized for each student and is composed of a series of questions, classified on different domains (e.g. maths, science, logic, etc.). Since each test is unique for composition, it is crucial to guarantee a similar level of difficulty for all the tests in a session. For this reason, to each question, it is assigned a level of difficulty from a domain expert. Thus, the general difficultness of a test depends on the correct classification of each item. We propose two approaches to detect outliers. A visualization-based approach using dynamic filter and responsive visual widgets. A data mining approach to evaluate the performance of the different questions for five years. We used clustering to group the questions according to a set of performance indicators to provide labeling of the data-driven level of difficulty. The measured level is compared with the a priori assigned by experts. The misclassifications are then highlighted to the expert, who will be able to refine the question or the classification. Sequential pattern mining is used to check if biases are present in the composition of the tests and their performance. This analysis is meant to exclude overlaps or direct dependencies among questions. Analyzing co-occurrences we are able to state that the composition of each test is fair and uniform for all the students, even on several sessions. The analytical results are presented to the expert through a visual web application that loads the analytical data and indicators and composes an interactive dashboard. The user may explore the patterns and models extracted by filtering and changing thresholds and analytical parameters.;Michela Natilli;Daniele Fadda;Salvatore Rinzivillo;Dino Pedreschi;Federica Licari;;Performance evaluation;University entrance tests;Cluster analysis;;;;;
61;2019;bursic2020anomaly;Anomaly Detection from Log Files Using Unsupervised Deep Learning;Computer systems have grown in complexity to the point where manual inspection of system behaviour for purposes of malfunction detection have become unfeasible. As these systems output voluminous logs of their activity, machine led analysis of them is a growing need with already several existing solutions. These largely depend on having hand-crafted features, require raw log preprocessing and feature extraction or use supervised learning necessitating having a labeled log dataset not always easily procurable. We propose a two part deep autoencoder model with LSTM units that requires no hand-crafted features, no preprocessing of data as it works on raw text and outputs an anomaly score for each log entry. This anomaly score represents the rarity of a log event both in terms of its content and temporal context. The model was trained and tested on a dataset of HDFS logs containing 2 million raw lines of which half was used for training and half for testing. While this model cannot match the performance of a supervised binary classifier, it could be a useful tool as a coarse filter for manual inspection of log files where a labeled dataset is unavailable.;Sathya Bursic;Vittorio Cuculo;Alessandro D'Amelio ;;;;Deep learning;Anomaly detection;Log file;;;;;
62;2020;finlinson2021synthesis;Synthesis and Pruning as a Dynamic Compression Strategy for Efficient Deep Neural Networks;The brain is a highly reconfigurable machine capable of task-specific adaptations. The brain continually rewires itself for a more optimal configuration to solve problems. We propose a novel strategic synthesis algorithm for feedforward networks that draws directly from the brain's behaviours when learning. The proposed approach analyses the network and ranks weights based on their magnitude. Unlike existing approaches that advocate random selection, we select highly performing nodes as starting points for new edges and exploit the Gaussian distribution over the weights to select corresponding endpoints. The strategy aims only to produce useful connections and result in a smaller residual network structure. The approach is complemented with pruning to further the compression. We demonstrate the techniques to deep feedforward networks. The residual sub-networks that are formed from the synthesis approaches in this work form common sub-networks with similarities up to *90%. Using pruning as a complement to the strategic synthesis approach, we observe improvements in compression.;Alastair Finlinson;Sotiris Moschoyiannis;;;;;Sub-network;Optimisation;Compression;Pruning;Synthesis;;;
63;2020;saueressig2021exploring;Exploring Graph-Based Neural Networks for Automatic Brain Tumor Segmentation;Manual evaluation of medical images, such as MRI scans of brain tumors, requires years of training, is time-consuming, and is often subject to inter-annotator variation. The automatic segmentation of medical images is a long-standing challenge that seeks to alleviate these issues, with great potential benefits for physicians and patients. In the past few years, variations of Convolutional Neural Networks (CNNs) have established themselves as the state-of-the-art methodology for this task. Recently, Graph-based Neural Networks (GNNs) have gained considerable attention in the deep learning community. GNNs exploit the structural information present in graphical data by aggregating information over connected nodes, allowing them to effectively capture relation information between data elements. In this project, we propose a GNN-based approach to brain tumor segmentation. We represent 3D MRI scans of the brain as a graph, where different regions in the images are represented by nodes and edges connect adjacent regions. We apply several variations of GNNs for the automatic segmentation of brain tumors from MRI scans. Our results show GNNs give reasonable performance on the task and allow for realistic modeling of the data. Furthermore, they are far less computationally expensive and time-consuming to train than state-of-the-art segmentation models. Lastly, we assign Shapley value based contribution scores to input MRI features to learn what features are relevant for a particular segmentation, generating interesting insights into explaining the predictions of the proposed model.;Camillo Saueressig;Adam Berkley;Elliot Kang;Reshma Munbodh;Ritambhara Singh;;Graph neural networks;Brain tumor segmentation;Deep learning;;;;;
64;2020;pian2021stdi;STDI-Net: Spatial-Temporal Network with Dynamic Interval Mapping for Bike Sharing Demand Prediction;As an economical and healthy mode of shared transportation, Bike Sharing System (BSS) develops quickly in many big cities. An accurate prediction method can help BSS schedule resources in advance to meet the demands of users, and definitely improve operating efficiencies of it. However, most of the existing methods for similar tasks just utilize spatial or temporal information independently. Though there are some methods consider both, they only focus on demand prediction in a single location or between location pairs. In this paper, we propose a novel deep learning method called Spatial-Temporal Dynamic Interval Network (STDI-Net). The method predicts the number of renting and returning orders of multiple connected stations in the near future by modeling joint spatial-temporal information. Furthermore, we embed an additional module that generates dynamical learnable mappings for different time intervals, to include the factor that different time intervals have a strong influence on demand prediction in BSS. Extensive experiments are conducted on the NYC Bike dataset, the results demonstrate the superiority of our method over existing methods.;Weiguo Pian;Yingbo Wu;Ziyi Kou;;;;Bike sharing system;Demand prediction;Deep learning;;;;;
65;2020;silvina2020simulation;A Simulation-Based Approach for the Behavioural Analysis of Cancer Pathways;Cancer pathway is the name given to a patient's journey from initial suspicion of cancer through to a confirmed diagnosis and, if applicable, the definition of a treatment plan. Typically, a cancer patient will undergo a series of procedures, which we designate as events, during their cancer care. The initial stage of the pathway, from suspected diagnosis to confirmed diagnosis and start of a treatment is called cancer waiting time (CWT). This paper focuses on the modelling and analysis of the CWT. Health boards are under pressure to ensure that the duration of CWT satisfies predefined targets. In this paper, we first create the visual representation of the pathway obtained from real patient data at a given health board, and then compare it with the standardised pathway considered by the board to find and flag a deviation in the execution of the cancer pathway. Next, we devise a discrete event simulation model for the cancer waiting time pathway. The input data is obtained from historical records of patients. The outcomes from this analysis highlight the pathway bottlenecks and transition times which may be used to reveal potential improvements for CWT in the future.;Agastya Silvina;Guilherme Redeker;Thais Webber;Juliana Bowles;;;Cancer pathway;Cancer waiting time;Discrete event simulation;Process modelling;;;;
66;2020;nasti2020discovering;Discovering the Impact of Notifications on Social Network Addiction;Addiction is a complex phenomenon, coming from environmental, biological, and psychological causes. It is defined as a natural response of the body to external stimuli that become compulsive needs. From the biological point of view, the brain has the central role: many neural circuits and, above all, the Dopamine System, are involved in the addiction process. Over the last decade, social network communication has become an increasingly addictive activity, for which users appear to engage in social media excessively and/or compulsively. In this work, we show that the current online social networks' notifications system triggers addictive behaviors. We prove our hypothesis simulating the mathematical modeling of the Dopamine System on real interactions among members of a set of 18 Facebook groups. In line with recent psychological studies, we find that the addicted users show a high frequency of social interactions on the platform.;Lucia Nasti;Andrea Michienzi;Barbara Guidi;;;;Social networks;Computational model;Internet addiction;Facebook groups;;;;
67;2020;bowles2020simulation;A Simulation Study on Demand Disruptions and Limited Resources for Healthcare Provision;Philanthropic hospitals in Brazil are in great part funded by the government and are daily accessed by a large portion of the population. As the Brazilian economy faces deep cuts in healthcare, managers are adjusting budgets and focusing on less expensive alternatives such as process improvements. Hospitals are even more impacted by the recent COVID-19 pandemic with widespread disruption on operational processes forcing them to stretch resources. Thus, it brings an opportunity to evaluate the actual performance of these settings under different scenarios where analysts may address bottlenecks and the impact on resources. Our focus is to quantify the capacity of an emergency department to support patient demand with limited resources in pre and postpandemic scenarios. We use a 12-month longitudinal dataset consisting of pre-pandemic emergency occurrences and assigned resources.;Juliana Bowles;Ricardo M. Czekster;Guilherme Redeker;Thais Webber;;;Healthcare processes;Emergency department;Process simulation;COVID-19;;;;
68;2020;cerone2021formal;A Formal Model for Emulating the Generation of Human Knowledge in Semantic Memory;The transfer of information processed by human beings from their short-term memory (STM) to their semantic memory creates two kinds of knowledge: a semantic network of associations and a structured set of rules to govern human deliberate behaviour under explicit attention. This paper focuses on the memory processes that create the first of these two kinds of knowledge. Human memory storage and processing are modeled using the Real-time Maude rewrite language. Maude's capability of specifying complex data structures as many sorted algebras and the time features of Real-Time Maude are exploited for (1) providing a means for formalising alternative memory models, (2) modelling in silico experiments to compare and validate such models. We aim at using our model for the comparison of alternative cognitive hypothesis and theories and the analysis of interactive systems.;Antonio Cerone;Graham Pluck;;;;;Cognitive science;Human memory models;Formal methods;Rewriting logic;Real-Time Maude;;;
69;2020;milazzo2021analysis;Analysis of COVID-19 Data with PRISM: Parameter Estimation and SIR Modelling;We propose a pipeline for the stochastic analysis of a SIR model for COVID-19 through the stochastic model checker PRISM. The pipeline consists in: (i) the definition of a modified SIR model, able to include governmental restriction and prevention measures through an additional time-dependent coefficient, (ii) parameter estimation based on real epidemic data, (iii) translation of the modified SIR model into a Continuous Time Markov Chain (CTMC) expressed using the PRISM input language, and (iv) stochastic analysis (simulation and model checking) with PRISM.;Paolo Milazzo;;;;;;PRISM model checker;SIR models;COVID-19;;;;;
70;2020;cerone2021formalmodel;A Formal Model for the Simulation and Analysis of Early Biofilm Formation;Biofilms are structured communities of bacterial cells adherent to a surface. This bacterial state is called sessile. This paper focuses on the modelling of the transition between planktonic and sessile state using Real-time Maude as the modelling language. With more and more bacteria joining the sessile community, the likelihood of producing a biofilm increases. Once the percentage of bacterial cells that adheres to the surface reaches a threshold, which is specific for the considered bacterium species, a permanent biofilm is formed. An important challenge is to predict the time needed for the formation of a biofilm on a specific surface, in order to plan when the material infrastructure that comprises such a surface needs to be cleaned or replaced. We exploit the model-checking features of Real-time Maude to formally prove that a regular cleaning or replacement of the infrastructure prevents the biofilm formation.;Antonio Cerone;Enrico Marsili;;;;;Biofilms;Formal methods;Rewriting logic;Real-Time Maude;;;;
71;2020;romero2021query;Query Rewriting on Path Views Without Integrity Constraints;A view with a binding pattern is a parameterised query on a database. Such views are used, e.g., to model Web services. To answer a query on such views, one has to orchestrate the views together in execution plans. The goal is usually to find equivalent rewritings, which deliver precisely the same results as the query on all databases. However, such rewritings are usually possible only in the presence of integrity constraints – and not all databases have such constraints. In this paper, we describe a class of plans that give practical guarantees about their result even if there are no integrity constraints. We provide a characterisation of such plans and a complete and correct algorithm to enumerate them. Finally, we show that our method can find plans on real-world Web Services.;Julien Romero;Nicoleta Preda;Fabian Suchanek;;;;;;;;;;;
72;2020;barbon2020evaluating;Evaluating Trace Encoding Methods in Process Mining;Encoding methods affect the performance of process mining tasks but little work in the literature focused on quantifying their impact. In this paper, we compare 10 different encoding methods from three different families (trace replay and alignment, graph embeddings, and word embeddings) using measures to evaluate the overlaps in the feature space, the accuracy obtained, and the computational resources (time) consumed with a classification task. Across hundreds of event logs representing four variations of five scenarios and five anomalies, it was possible to identify the edge2vec method as the most accurate and effective in reducing class overlapping in the feature space.;Sylvio Barbon Junior;Paolo Ceravolo;Ernesto Damiani;Gabriel Marques Tavares;;;Trace encoding;Word embeddings;Graph embeddings;Classification;Process Mining;;;
